,activity,question_number,rank
0,i_answer,0,0.17229378251176616
1,i_comment,0,8.669804310131286e-05
2,i_answer,1,0.00013623978201634878
3,i_answer,1,1.0
4,i_comment,1,1.0
5,i_comment,1,1.0
6,i_comment,1,1.0
7,i_answer,2,0.06533316819420362
8,i_comment,3,8.669804310131286e-05
9,i_comment,3,0.711406985385187
10,i_comment,3,0.711406985385187
11,i_comment,3,0.711406985385187
12,i_comment,3,0.18492692593510032
13,i_comment,3,8.669804310131286e-05
14,i_answer,4,0.16837998513747832
15,i_answer,4,0.0008174386920980927
16,i_comment,4,8.669804310131286e-05
17,i_comment,4,0.0008174386920980927
18,i_comment,4,0.06825613079019073
19,i_comment,5,0.2089298984394352
20,i_comment,6,0.23555858310626704
21,i_answer,7,0.0010651473866732722
22,i_comment,7,0.4814837750805053
23,i_comment,7,0.11274461233589299
24,i_comment,7,0.11274461233589299
25,i_comment,7,0.4814837750805053
26,i_answer,8,8.669804310131286e-05
27,i_comment,8,0.0006564280406242259
28,i_comment,8,0.0037775575922714888
29,i_comment,8,0.21000743126083726
30,i_answer,9,0.0006564280406242259
31,i_comment,9,0.0006564280406242259
32,i_comment,10,0.1523780034679217
33,i_answer,11,0.564230864503344
34,i_comment,11,0.0019692841218726777
35,i_answer,12,0.0315209313846916
36,i_comment,12,0.005610601932127817
37,i_comment,12,0.47192221946990337
38,i_comment,12,0.005610601932127817
39,i_comment,12,0.47192221946990337
40,i_comment,13,0.07308645033440674
41,i_answer,14,0.0010651473866732722
